--------------------------------------------------------------------------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                  | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                                                                                            
--------------------------------------------------------------------------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------------------------------
 app/non-authorized/pages/registration/models                                         |   15.78 |        0 |       0 |   15.78 |                                                                                                                                                              
  registration-content-strings.model.ts                                               |   15.78 |        0 |       0 |   15.78 | 7-68                                                                                                                                                         
 app/non-authorized/pages/startup                                                     |   59.57 |    38.09 |   43.18 |    59.7 |                                                                                                                                                              
  connectivity-aware-facade.service.ts                                                |   21.73 |     9.09 |    5.26 |   21.42 | 31-109                                                                                                                                                       
  startup.page.html                                                                   |     100 |      100 |     100 |     100 |                                                                                                                                                              
  startup.page.ts                                                                     |   77.65 |       70 |      72 |   76.92 | 68,74,80,104-105,113,155-167,176-187,199-205                                                                                                                 
 app/sections                                                                         |     100 |      100 |     100 |     100 |                                                                                                                                                              
  section.config.ts                                                                   |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/accounts                                                                |     100 |      100 |     100 |     100 |                                                                                                                                                              
  accounts.config.ts                                                                  |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/accounts/pages/automatic-deposit-page                                   |   21.76 |     6.25 |    6.66 |    22.1 |                                                                                                                                                              
  auto-deposit.config.ts                                                              |   63.33 |       60 |      50 |   59.25 | 21,25,30-43                                                                                                                                                  
  automatic-deposit-page.component.html                                               |     100 |      100 |     100 |     100 |                                                                                                                                                              
  automatic-deposit-page.component.ts                                                 |   17.13 |     1.69 |    4.04 |   18.04 | 82-163,173-700                                                                                                                                               
 app/sections/accounts/pages/automatic-deposit-page/components/popover                |   85.71 |      100 |       0 |   83.33 |                                                                                                                                                              
  popover.component.html                                                              |     100 |      100 |     100 |     100 |                                                                                                                                                              
  popover.component.ts                                                                |   83.33 |      100 |       0 |      80 | 16                                                                                                                                                           
 app/sections/accounts/pages/automatic-deposit-page/service                           |      34 |        0 |       0 |   33.33 |                                                                                                                                                              
  auto-deposit-api-service.service.ts                                                 |   30.43 |      100 |       0 |      30 | 13-46                                                                                                                                                        
  auto-deposit.service.ts                                                             |   37.03 |        0 |       0 |      36 | 16-56                                                                                                                                                        
 app/sections/accounts/pages/deposit-page                                             |   13.55 |     2.81 |    0.91 |   13.63 |                                                                                                                                                              
  amount-range.validator.ts                                                           |   18.18 |        0 |       0 |   18.18 | 5-18                                                                                                                                                         
  deposit-page.component.html                                                         |     100 |      100 |     100 |     100 |                                                                                                                                                              
  deposit-page.component.ts                                                           |   13.48 |     3.22 |    1.42 |   13.59 | 53-563                                                                                                                                                       
  deposit-page.content.string.ts                                                      |   10.86 |        0 |       0 |   10.86 | 9-27,32-64,69-94,105-163                                                                                                                                     
 app/sections/accounts/pages/deposit-page/input-amount                                |   88.46 |      100 |      25 |   86.95 |                                                                                                                                                              
  input-amount.component.html                                                         |     100 |      100 |     100 |     100 |                                                                                                                                                              
  input-amount.component.ts                                                           |   76.92 |      100 |      25 |      75 | 21-29                                                                                                                                                        
  input-amount.module.ts                                                              |     100 |      100 |     100 |     100 |                                                                                                                                                              
