--------------------------------------------------------------------------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                  | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                                                                                            
--------------------------------------------------------------------------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------------------------------
 app/sections/housing/st-forms-header                                                 |   77.77 |      100 |   33.33 |      75 |                                                                                                                                                              
  st-forms-header.component.html                                                      |     100 |      100 |     100 |     100 |                                                                                                                                                              
  st-forms-header.component.ts                                                        |      75 |      100 |   33.33 |   71.42 | 16-20                                                                                                                                                        
 app/sections/housing/stepper                                                         |      20 |        0 |       0 |   17.85 |                                                                                                                                                              
  stepper.component.html                                                              |     100 |      100 |     100 |     100 |                                                                                                                                                              
  stepper.component.ts                                                                |   17.24 |        0 |       0 |   14.81 | 45-107                                                                                                                                                       
 app/sections/housing/stepper/step                                                    |   83.33 |        0 |      60 |   81.81 |                                                                                                                                                              
  step.component.html                                                                 |     100 |      100 |     100 |     100 |                                                                                                                                                              
  step.component.ts                                                                   |   81.81 |        0 |      60 |      80 | 36,45                                                                                                                                                        
 app/sections/housing/terms                                                           |      60 |        0 |      25 |   56.25 |                                                                                                                                                              
  terms.component.html                                                                |     100 |      100 |     100 |     100 |                                                                                                                                                              
  terms.component.ts                                                                  |   86.66 |      100 |      60 |   83.33 | 36-40                                                                                                                                                        
  terms.model.ts                                                                      |   14.28 |        0 |       0 |   14.28 | 8-15                                                                                                                                                         
  terms.module.ts                                                                     |     100 |      100 |     100 |     100 |                                                                                                                                                              
  terms.service.ts                                                                    |   36.36 |        0 |       0 |      35 | 13-39                                                                                                                                                        
 app/sections/housing/unit                                                            |      20 |        0 |       0 |   23.07 |                                                                                                                                                              
  unit.model.ts                                                                       |      20 |        0 |       0 |   23.07 | 16-23,29-31                                                                                                                                                  
 app/sections/housing/utils                                                           |      50 |        0 |    8.33 |      50 |                                                                                                                                                              
  define.ts                                                                           |   66.66 |        0 |       0 |   66.66 | 13                                                                                                                                                           
  flat.ts                                                                             |   33.33 |        0 |       0 |   33.33 | 11-12                                                                                                                                                        
  has-date-passed.ts                                                                  |   33.33 |      100 |       0 |   33.33 | 2-3                                                                                                                                                          
  has-value.ts                                                                        |   33.33 |        0 |       0 |   33.33 | 9-10                                                                                                                                                         
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  is-date.ts                                                                          |      25 |      100 |       0 |      25 | 3-5                                                                                                                                                          
  is-defined.ts                                                                       |     100 |      100 |     100 |     100 |                                                                                                                                                              
  is-null-string.ts                                                                   |      50 |        0 |       0 |      50 | 9                                                                                                                                                            
  is-successful.ts                                                                    |   33.33 |        0 |       0 |   33.33 | 6-15                                                                                                                                                         
  parse-json-to-array.ts                                                              |      20 |        0 |       0 |      20 | 10-15                                                                                                                                                        
 app/sections/housing/utils/validators                                                |      50 |        0 |      50 |      50 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  integer.ts                                                                          |      40 |        0 |      50 |      40 | 5-9                                                                                                                                                          
  numeric.ts                                                                          |      40 |        0 |      50 |      40 | 5-9                                                                                                                                                          
 app/sections/housing/waiting-lists                                                   |   40.86 |     6.25 |   12.72 |    40.3 |                                                                                                                                                              
  waiting-list-state.service.ts                                                       |   68.75 |      100 |   28.57 |   64.28 | 23-31,39-44                                                                                                                                                  
  waiting-lists.component.html                                                        |     100 |      100 |     100 |     100 |                                                                                                                                                              
  waiting-lists.component.ts                                                          |   51.06 |        0 |      25 |   51.11 | 36-40,51-102                                                                                                                                                 
  waiting-lists.model.ts                                                              |   36.11 |    19.04 |   16.66 |   36.11 | 25-34,58-67,83,88,94,97,113-118                                                                                                                              
  waiting-lists.module.ts                                                             |     100 |      100 |     100 |     100 |                                                                                                                                                              
  waiting-lists.service.ts                                                            |   25.77 |        0 |    3.33 |   26.37 | 39-228                                                                                                                                                       
 app/sections/housing/work-orders                                                     |   20.31 |     4.12 |    2.56 |   19.48 |                                                                                                                                                              
  work-order-state.service.ts                                                         |   21.42 |      100 |       0 |   15.38 | 9-90                                                                                                                                                         
  work-orders.component.html                                                          |     100 |      100 |     100 |     100 |                                                                                                                                                              
  work-orders.component.ts                                                            |   23.68 |        0 |       0 |   21.62 | 19-82                                                                                                                                                        
  work-orders.mock.ts                                                                 |      50 |        0 |       0 |      50 | 4,11,16                                                                                                                                                      
  work-orders.model.ts                                                                |   25.27 |    10.52 |   13.33 |   25.27 | 37-44,75-89,101-106,128-132,142-152,187-201,226-237,247-251                                                                                                  
  work-orders.service.ts                                                              |   14.74 |        0 |       0 |   14.47 | 34-364                                                                                                                                                       
 app/sections/mobile-access                                                           |     100 |      100 |     100 |     100 |                                                                                                                                                              
  mobile-acces.config.ts                                                              |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/ordering                                                                |   74.07 |    56.25 |      30 |   74.58 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  ordering.config.ts                                                                  |     100 |      100 |     100 |     100 |                                                                                                                                                              
  ordering.page.html                                                                  |     100 |      100 |     100 |     100 |                                                                                                                                                              
  ordering.page.ts                                                                    |   20.25 |        0 |       0 |   19.73 | 26-169                                                                                                                                                       
 app/sections/ordering/components                                                     |     100 |      100 |     100 |     100 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/ordering/components/menu-ordering                                       |      50 |      100 |       0 |   47.05 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  menu-ordering.component.html                                                        |     100 |      100 |     100 |     100 |                                                                                                                                                              
  menu-ordering.component.ts                                                          |   43.75 |      100 |       0 |      40 | 14-38                                                                                                                                                        
 app/sections/ordering/components/merchant-list                                       |      50 |      100 |       0 |   46.15 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  merchant-list.component.html                                                        |     100 |      100 |     100 |     100 |                                                                                                                                                              
  merchant-list.component.ts                                                          |      30 |      100 |       0 |   22.22 | 12-32                                                                                                                                                        
 app/sections/ordering/components/merchant-list/merchant-item                         |   33.33 |        0 |       0 |   31.81 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  merchant-item.component.html                                                        |     100 |      100 |     100 |     100 |                                                                                                                                                              
  merchant-item.component.ts                                                          |   27.27 |        0 |       0 |      25 | 15-50                                                                                                                                                        
 app/sections/ordering/pages/address-edit                                             |   46.66 |        0 |   16.66 |   47.22 |                                                                                                                                                              
  address-edit.page.html                                                              |     100 |      100 |     100 |     100 |                                                                                                                                                              
  address-edit.page.ts                                                                |    45.2 |        0 |   16.66 |   45.71 | 49-63,69-167                                                                                                                                                 
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/ordering/pages/cart                                                     |    16.9 |     2.46 |    1.25 |   16.73 |                                                                                                                                                              
  cart-config.ts                                                                      |     100 |      100 |     100 |     100 |                                                                                                                                                              
  cart.component.html                                                                 |     100 |      100 |     100 |     100 |                                                                                                                                                              
  cart.component.ts                                                                   |   12.16 |        0 |       0 |    12.4 | 66-644                                                                                                                                                       
  cart.routing.module.ts                                                              |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/ordering/pages/cart/components/non-checking-success                     |     100 |      100 |     100 |     100 |                                                                                                                                                              
  non-checking-success.component.html                                                 |     100 |      100 |     100 |     100 |                                                                                                                                                              
  non-checking-success.component.ts                                                   |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/ordering/pages/cart/services                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  non-checking.service.ts                                                             |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/ordering/pages/recent-orders/components/items-unavailable               |   83.33 |      100 |   33.33 |     100 |                                                                                                                                                              
  items-unavailable.component.html                                                    |     100 |      100 |     100 |     100 |                                                                                                                                                              
  items-unavailable.component.ts                                                      |   81.81 |      100 |   33.33 |     100 |                                                                                                                                                              
 app/sections/ordering/resolvers                                                      |    40.9 |      100 |       0 |   38.09 |                                                                                                                                                              
  cart.resolver.ts                                                                    |    40.9 |      100 |       0 |   38.09 | 15-39                                                                                                                                                        
 app/sections/ordering/services                                                       |   19.95 |     2.66 |    8.09 |   20.52 |                                                                                                                                                              
  cart.service.ts                                                                     |   13.13 |        0 |    4.16 |   14.04 | 39-77,86-455                                                                                                                                                 
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  merchant.service.ts                                                                 |   22.22 |      8.1 |    9.09 |   23.03 | 76-251,258,262-263,270-281,287-300,308,314-372,381-427                                                                                                       
  ordering.api.service.ts                                                             |   20.95 |        0 |    6.66 |   20.38 | 41-72,81-128,137-293                                                                                                                                         
  ordering.service.ts                                                                 |   81.81 |       25 |      60 |      80 | 20-22                                                                                                                                                        
 app/sections/ordering/shared                                                         |     100 |      100 |     100 |     100 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/ordering/shared/models                                                  |     100 |      100 |     100 |     100 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/ordering/shared/pipes                                                   |     100 |      100 |     100 |     100 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/ordering/shared/pipes/modify-prep-time                                  |      75 |        0 |       0 |      75 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  modify-prep-time.module.ts                                                          |     100 |      100 |     100 |     100 |                                                                                                                                                              
  modify-prep-time.pipe.ts                                                            |      50 |        0 |       0 |      50 | 10-22                                                                                                                                                        
 app/sections/ordering/shared/pipes/order-items-summary                               |   41.66 |        0 |       0 |      30 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  order-items-summary.pipe.ts                                                         |   36.36 |        0 |       0 |   22.22 | 9-20                                                                                                                                                         
 app/sections/ordering/shared/pipes/price-units-resolver                              |    61.9 |        0 |       0 |   55.55 |                                                                                                                                                              
  price-units-resolver.module.ts                                                      |     100 |      100 |     100 |     100 |                                                                                                                                                              
  price-units-resolver.pipe.ts                                                        |   46.66 |        0 |       0 |   42.85 | 12-30                                                                                                                                                        
 app/sections/ordering/shared/pipes/type-message                                      |   66.66 |        0 |       0 |   57.14 |                                                                                                                                                              
  type-message.pipe.module.ts                                                         |     100 |      100 |     100 |     100 |                                                                                                                                                              
  type-message.pipe.ts                                                                |   45.45 |        0 |       0 |   33.33 | 9-17                                                                                                                                                         
 app/sections/ordering/shared/ui-components                                           |     100 |      100 |     100 |     100 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/ordering/shared/ui-components/add-edit-addresses                        |   27.33 |     2.32 |    3.03 |   26.95 |                                                                                                                                                              
  add-edit-addresses.component.html                                                   |     100 |      100 |     100 |     100 |                                                                                                                                                              
  add-edit-addresses.component.ts                                                     |   19.25 |     2.32 |    3.03 |   19.53 | 39-338                                                                                                                                                       
  add-edit-addresses.modal.module.ts                                                  |     100 |      100 |     100 |     100 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/ordering/shared/ui-components/confirm-popover                           |   71.42 |      100 |       0 |   66.66 |                                                                                                                                                              
  confirm-popover.component.html                                                      |     100 |      100 |     100 |     100 |                                                                                                                                                              
  confirm-popover.component.ts                                                        |   66.66 |      100 |       0 |      60 | 14-23                                                                                                                                                        
 app/sections/ordering/shared/ui-components/delivery-addresses.modal                  |   32.91 |        0 |       0 |   30.26 |                                                                                                                                                              
  delivery-addresses.modal.component.html                                             |     100 |      100 |     100 |     100 |                                                                                                                                                              
  delivery-addresses.modal.component.ts                                               |   19.69 |        0 |       0 |   18.46 | 31-186                                                                                                                                                       
  delivery-addresses.modal.module.ts                                                  |     100 |      100 |     100 |     100 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/ordering/shared/ui-components/order-address-list                        |      50 |      100 |       0 |   46.66 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  order-address-list.component.html                                                   |     100 |      100 |     100 |     100 |                                                                                                                                                              
  order-address-list.component.ts                                                     |   38.46 |      100 |       0 |   33.33 | 12-35                                                                                                                                                        
 app/sections/ordering/shared/ui-components/order-address-list/order-address-item     |   27.77 |        0 |       0 |   23.52 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  order-address-item.component.html                                                   |     100 |      100 |     100 |     100 |                                                                                                                                                              
  order-address-item.component.ts                                                     |   18.75 |        0 |       0 |   13.33 | 15-49                                                                                                                                                        
 app/sections/ordering/shared/ui-components/order-details                             |   25.82 |     3.38 |    2.38 |   25.12 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  order-details.component.html                                                        |     100 |      100 |     100 |     100 |                                                                                                                                                              
  order-details.component.ts                                                          |   14.59 |     3.38 |    2.38 |   14.36 | 71-454                                                                                                                                                       
  order-details.module.ts                                                             |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/ordering/shared/ui-components/order-details/pipes                       |   38.46 |        0 |       0 |   36.36 |                                                                                                                                                              
  account-type-resolver.pipe.ts                                                       |   38.46 |        0 |       0 |   36.36 | 11-24                                                                                                                                                        
 app/sections/ordering/shared/ui-components/order-filters.action-sheet                |   66.66 |      100 |   33.33 |   63.63 |                                                                                                                                                              
  order-filters.action-sheet.component.html                                           |     100 |      100 |     100 |     100 |                                                                                                                                                              
  order-filters.action-sheet.component.ts                                             |   63.63 |      100 |   33.33 |      60 | 20-35                                                                                                                                                        
 app/sections/ordering/shared/ui-components/order-item-details                        |     100 |      100 |     100 |     100 |                                                                                                                                                              
  order-item-details.component.html                                                   |     100 |      100 |     100 |     100 |                                                                                                                                                              
  order-item-details.component.ts                                                     |     100 |      100 |     100 |     100 |                                                                                                                                                              
  order-item-details.module.ts                                                        |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/sections/ordering/shared/ui-components/order-options.action-sheet                |   34.86 |     4.65 |    22.5 |   35.86 |                                                                                                                                                              
  order-options.action-sheet.component.html                                           |     100 |      100 |     100 |     100 |                                                                                                                                                              
  order-options.action-sheet.component.ts                                             |   34.43 |     4.65 |    22.5 |   35.41 | 85,119-143,153-303,311-331,365-371                                                                                                                           
 app/sections/ordering/shared/ui-components/recent-oders-list                         |      60 |      100 |       0 |   55.55 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  recent-orders-list.component.html                                                   |     100 |      100 |     100 |     100 |                                                                                                                                                              
  recent-orders-list.component.ts                                                     |   42.85 |      100 |       0 |   33.33 | 16-22                                                                                                                                                        
 app/sections/ordering/shared/ui-components/recent-oders-list/recent-orders-list-item |   76.74 |       75 |      60 |   76.19 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
